CourseCode,CourseName,JUE_08:50_09:40,JUE_09:40_10:30,JUE_14:00_14:50,JUE_14:50_15:40,LUN_08:50_09:40,LUN_09:40_10:30,LUN_10:40_11:30,LUN_11:30_12:20,MAR_07:00_07:50,MAR_07:50_08:40,MAR_08:50_09:40,MAR_09:40_10:30,MAR_10:40_11:30,MAR_11:30_12:20,MAR_15:50_16:40,MAR_16:40_17:30,MIE_07:00_07:50,MIE_07:50_08:40,MIE_08:50_09:40,MIE_14:00_14:50,MIE_14:50_15:40,MIE_15:50_16:40,MIE_16:40_17:30,VIE_08:50_09:40,VIE_09:40_10:30,VIE_14:00_14:50
CourseCode,CourseName,,,,,,,,,,,,,,,,,,,,,,,,,,
1705265,CLOUD COMPUTING,,,,,LAB3,LAB3,,,,,LAB3,LAB3,,,,,,,,LAB3,LAB3,,,,,
1705267,TRABAJO INTERDISCIPLINAR III,,,,,,,,,T5,T1,,,,,,,,,,,,,,,,T5
1705268,INTERNET DE LAS COSAS,,,,,,,,LAB1,,,,,LAB2,LAB2,,,,,,,,,,,,
1705269,ROBOTICA (E),,,,LAB2,,,LAB3,,,,,,LAB1,LAB1,,,,,,,,,,,,
1705270,TOPICOS EN CIBERSEGURIDAD (E),,,,,,,,,,,,,,,LAB2,LAB1,,,,,,LAB1,LAB1,,,
1705271,PRACTICAS PRE PROFESIONALES,,,T4,,,,,,,,,,,,,,T4,T4,T4,,,,,,,
1705272,TRABAJO DE INVESTIGACIÓN,T5,T1,,,,,,,,,,,,,,,,,,,,,,T1,T2,
